database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us);
neo4j;3.ResponsivenessIndexScan;load;3;1;10000;1;1;1;50;95;0;5;0;false;true;5025;0,19900497512437812;3154944,0;2;2;2,0;0,000;3;3;3,0;0,000;12;32;22,0;0,010;1316352,0;537088;537599;537344,0;0,000;537088;537599;537344,0;0,000;;;;;;;;;;;;;
neo4j;3.ResponsivenessIndexScan;run;1;1;10000;1;1;1;50;95;0;5;0;false;true;3290216;3,0393141362147653;1655296,0;1;2;1,7794561933534743;0,000;3;12;10,012084592145015;0,001;15;158;79,07552870090635;0,027;4745216,0;54400;835071;148127,71397616467;67,931;54400;835071;145853,10469770382;67,644;57120;826879;149833,7607836941;68,096;;;;;82;14671;1696,405138339921;2,151;
neo4j;3.ResponsivenessIndexScan;run;2;1;10000;1;1;1;50;95;0;5;0;false;true;3097163;3,2287612889602517;1926656,0;1;2;1,6688102893890675;0,000;3;11;10,02250803858521;0,001;16;145;75,72347266881029;0,025;4876288,0;56128;916479;139391,2437703142;44,071;56128;916479;137423,00905835265;45,007;60448;618495;140867,49755095592;43,296;;;;;87;12623;1709,3616600790515;2,096;
neo4j;3.ResponsivenessIndexScan;run;3;1;10000;1;1;1;50;95;0;5;0;false;true;3098624;3,227238929279577;1556992,0;1;2;1,5594855305466238;0,000;3;11;10,02572347266881;0,001;15;150;77,52411575562701;0,025;5498880,0;56544;838143;139442,0628385699;45,276;56544;838143;136746,05097956603;43,938;65248;793087;141464,1782272081;46,151;;;;;83;54783;1819,1541501976285;3,194;
apachejena;3.ResponsivenessIndexScan;load;1;1;10000;1;1;1;50;95;0;5;0;false;true;2076;0,4816955684007707;1679872,0;1;1;1,0;0,000;2;3;2,5;0,001;11;59;35,0;0,024;283008,0;90112;90175;90144,0;0,000;90112;90175;90144,0;0,000;;;;;;;;;;;;;
apachejena;3.ResponsivenessIndexScan;load;2;1;10000;1;1;1;50;95;0;5;0;false;true;2525;0,39603960396039606;2098176,0;1;1;1,0;0,000;2;3;2,5;0,001;11;59;35,0;0,024;251328,0;150528;150655;150592,0;0,000;150528;150655;150592,0;0,000;;;;;;;;;;;;;
apachejena;3.ResponsivenessIndexScan;load;3;1;10000;1;1;1;50;95;0;5;0;false;true;1966;0,508646998982706;1626624,0;1;1;1,0;0,000;2;3;2,5;0,001;11;59;35,0;0,024;224704,0;88448;88511;88480,0;0,000;88448;88511;88480,0;0,000;;;;;;;;;;;;;
apachejena;3.ResponsivenessIndexScan;run;1;1;10000;1;1;1;50;95;0;5;0;false;true;3068597;3,2588182807973807;438912,0;1;2;1,12012987012987;0,000;2;3;2,9967532467532467;0,000;15;193;71,40259740259741;0,037;8102,0;59744;1914879;137919,4994582882;72,365;59744;1745919;136954,96608384242;72,316;63360;1914879;138642,9375888766;72,393;;;;;50;517119;22882,31818181818;65,802;
apachejena;3.ResponsivenessIndexScan;run;2;1;10000;1;1;1;50;95;0;5;0;false;true;3172793;3,151797170505608;431232,0;1;2;1,0658307210031348;0,000;2;3;2,9968652037617556;0,000;15;189;73,55799373040752;0,036;8348,0;55744;1025535;142622,99602744673;77,850;55744;830463;141674,50600379187;77,676;62464;1025535;143334,4010112182;77,973;;;;;50;787455;22933,335968379448;70,279;
apachejena;3.ResponsivenessIndexScan;run;3;1;10000;1;1;1;50;95;0;5;0;false;true;3092659;3,233463501795704;442496,0;1;2;1,0803858520900322;0,000;2;3;2,9967845659163985;0,000;15;191;71,54340836012862;0,037;8138,0;56864;756735;139001,73925604913;72,830;56864;745983;138009,73414788287;72,030;60640;756735;139745,7822720809;73,416;;;;;47;370175;23024,820158102768;64,561;
