database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us)
sparksee;1.DifferenceEdgeIndex100000Nodes;run;1;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;6937;14415,45337;341632;1;1;1;0;2;3;2,5;0,001;18;247;132,5;0,115;641280;37;2979;46,6477;0,019;37;2979;46,6477;0,019;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex100000Nodes;run;2;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;7248;13796,90949;484480;1;1;1;0;2;3;2,5;0,001;18;247;132,5;0,115;713472;36;3147;47,22043;0,021;36;3147;47,22043;0,021;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex100000Nodes;run;3;1;100000;1;1;1;10;1;0;;0;TRUE;TRUE;7242;13808,34024;236480;1;1;1;0;2;3;2,5;0,001;18;375;196,5;0,179;783104;40;28943;49,10975;0,092;40;28943;49,10975;0,092;;;;;;;;;;;;
neo4j;1.DifferenceEdgeIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;3823;0,26157468;2540544;1;1;1;0;3;3;3;0;12;34;23;0,011;875776;384768;385023;384896;0;384768;385023;384896;0;;;;;;;;;;;;
neo4j;1.DifferenceEdgeIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;6892;0,145095763;4027392;3;3;3;0;3;3;3;0;12;33;22,5;0,011;2128896;716288;716799;716544;0;716288;716799;716544;0;;;;;;;;;;;;
neo4j;1.DifferenceEdgeIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;5457;0,18325087;3714048;2;3;2,5;0,001;3;3;3;0;12;33;22,5;0,011;1272320;450048;450303;450176;0;450048;450303;450176;0;;;;;;;;;;;;
neo4j;1.DifferenceEdgeIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;1270394;7,871573701;1646080;1;3;2,837209302;0;3;12;9,937984496;0,001;16;106;54,06976744;0,02;3138560;54528;1427455;126487,272;46,343;54528;1427455;126487,272;46,343;;;;;;;;;;;;
neo4j;1.DifferenceEdgeIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;1850208;5,404797731;1909248;3;3;3;0;3;11;9,994652406;0,001;15;100;48,49197861;0,013;1913344;58080;1315839;184560,9296;107,997;58080;1315839;184560,9296;107,997;;;;;;;;;;;;
neo4j;1.DifferenceEdgeIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;1400298;7,141337058;1938944;2;3;2,957746479;0;3;11;9,922535211;0,001;15;122;56,96478873;0,022;3605504;58688;1308671;139400,3952;42,876;58688;1308671;139400,3952;42,876;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;21540;0,046425255;2,15E+07;3;3;3;0;3;7;5,75;0,002;15;35;27,75;0,008;136;3548;3549;3549;0;3548;3549;3549;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;16180;0,061804697;1,62E+07;3;3;3;0;3;7;5,333333333;0,002;15;35;24,33333333;0,008;74;3574;3575;3575;0;3574;3575;3575;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;14449;0,069208942;1,44E+07;3;3;3;0;3;7;5,333333333;0,002;15;35;24,33333333;0,008;109;3696;3697;3697;0;3696;3697;3697;0;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;8470;1180,637544;1477120;3;3;3;0;3;6;4,5;0,002;17;82;49,5;0,033;84;48;175999;669,0709;7,524;48;175999;669,0709;7,524;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;9108;1097,93588;1,38E+06;;;;0;;;;0,002;;;;0,032;;48;213759;741;8,173;48;213759;741;8,173;;;;;;;;;;;;
orientdb;1.DifferenceEdgeIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;8609;1161,575096;1368576;3;3;3;0;3;6;4,5;0,002;17;78;47,5;0,031;87;47;216319;694,2498;8,104;47;216319;694,2498;8,104;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;1666;0,600240096;1188352;2;2;2;0;2;3;2,5;0,001;10;14;12;0,002;399488;978;978;978;0;978;978;978;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;748;1,336898396;408448;2;2;2;0;2;3;2,5;0,001;10;14;12;0,002;272000;915;915;915;0;915;915;915;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;695;1,438848921;332672;2;2;2;0;2;3;2,5;0,001;10;14;12;0,002;291712;960;960;960;0;960;960;960;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;1277;7830,853563;274048;2;2;2;0;2;3;2,5;0,001;12;19;15,5;0,004;222400;40;1330;49,2414;0,021;40;1330;49,2414;0,021;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;1283;7794,232268;258752;2;2;2;0;2;3;2,5;0,001;12;20;16;0,004;180928;36;8519;54,7571;0,09;36;8519;54,7571;0,09;;;;;;;;;;;;
sparksee;1.DifferenceEdgeIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;1343;7446,016381;339072;2;2;2;0;2;3;2,5;0,001;12;19;15,5;0,004;232512;39;1152;49,1177;0,02;39;1152;49,1177;0,02;;;;;;;;;;;;
apachejena;1.DifferenceEdgeIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;5902;0,16943409;5376000;3;3;3;0;2;3;2,5;0,001;11;59;35;0,024;250048;253312;253439;253376;0;253312;253439;253376;0;;;;;;;;;;;;
apachejena;1.DifferenceEdgeIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;2165;0,461893764;1881600;1;1;1;0;2;3;2,5;0,001;11;59;35;0,024;170816;90112;90175;90144;0;90112;90175;90144;0;;;;;;;;;;;;
apachejena;1.DifferenceEdgeIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;2099;0,476417342;1750528;1;1;1;0;2;3;2,5;0,001;11;59;35;0,024;174656;148608;148735;148672;0;148608;148735;148672;0;;;;;;;;;;;;
apachejena;1.DifferenceEdgeIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;967970;10,33089868;510080;1;3;2,173469388;0,001;2;3;2,989795918;0;14;88;48,09183673;0,016;77664;51808;625663;96672,1616;50,469;51808;625663;96672,1616;50,469;;;;;;;;;;;;
apachejena;1.DifferenceEdgeIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;1000083;9,999170069;438912;1;2;1,147058824;0;2;3;2,990196078;0;15;74;48,60784314;0,016;71072;51680;1027583;99874,672;57,591;51680;1027583;99874,672;57,591;;;;;;;;;;;;
apachejena;1.DifferenceEdgeIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;TRUE;TRUE;1050479;9,519466834;444544;1;1;1;0;2;3;2,990654206;0;13;75;47,90654206;0,015;66784;51872;851967;104913,9824;68,508;51872;851967;104913,9824;68,508;;;;;;;;;;;;
